type,x,y,widthX,heightY,animate,startFrame,startpoint,endFrame,spriteY,fan,message,caveName,inCave,showMinimumDifficulty,hideMinimumDifficulty
surface,1,6,2,1,0,5,1,1,0,0,,,0,1,5
surface,14,8,1,1,0,0,0,1,0,0,,,0,1,5
surface,15,8,1,1,0,1,0,1,0,0,,,0,1,5
surface,16,8,1,1,0,1,0,1,0,0,,,0,1,5
surface,17,8,1,1,0,4,0,1,0,0,,,0,1,5
surface,20,8,1,1,0,0,0,1,0,0,,,0,1,5
surface,21,8,1,1,0,4,0,1,0,0,,,0,1,5
surface,24,8,1,1,0,0,0,1,0,0,,,0,1,5
surface,25,8,1,1,0,1,0,1,0,0,,,0,1,5
surface,26,8,1,1,0,4,0,1,0,0,,,0,1,5
surface,17,11,1,1,0,1,0,1,0,0,,,0,1,5
surface,18,11,1,1,0,1,0,1,0,0,,,0,1,5
surface,19,11,1,1,0,1,0,1,0,0,,,0,1,5
surface,20,11,1,1,1,4,0,1,0,0,,,0,1,5
surface,23,11,1,1,0,0,0,1,0,0,,,0,1,5
surface,24,11,1,1,0,1,0,1,0,0,,,0,1,5
surface,25,11,1,1,0,4,0,1,0,0,,,0,1,5
surface,2,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,3,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,4,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,5,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,6,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,7,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,8,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,9,14,1,1,0,4,0,1,0,0,,,0,1,5
Items,9,12,1,1,1,0,0,1,-6,0,"The more difficult, the more you see",,0,1,5
surface,12,14,1,1,0,0,0,0,0,0,,,0,1,5
surface,13,14,1,1,0,1,0,1,0,0,,,0,1,5
surface,14,14,1,1,0,4,0,3,0,0,,,0,1,5
surface,17,14,1,1,0,0,0,0,0,0,,,0,1,5
surface,18,14,1,1,0,4,0,1,0,0,,,0,1,5
surface,21,14,1,1,0,0,0,1,0,0,,,0,1,5
surface,22,14,1,1,0,1,0,1,0,0,,,0,1,2
surface,23,14,1,1,0,4,0,1,0,0,,,0,1,5
Items,3,5,1,1,1,0,0,1,-6,0,There's never a single path,,0,1,5
surface,2,14,1,1,0,1,0,0,0,0,,firstTest,1,3,5
surface,3,14,1,1,0,1,0,1,0,0,,firstTest,1,3,5
surface,4,14,1,1,0,1,0,1,0,0,,firstTest,1,3,5
surface,5,14,1,1,0,1,0,1,0,0,,firstTest,1,3,5
surface,6,14,1,1,0,1,0,1,0,0,,firstTest,1,3,5
surface,7,14,1,1,0,1,0,1,0,0,,firstTest,1,3,5
surface,16,11,1,1,1,2,0,3,-8.78125,1,,,0,1,5
surface,24,14,1,1,1,2,0,3,-8.78125,1,,,0,1,5
